"","objective_strata","n_outcome_0","n_0","prop_outcome_0","n_outcome_1","n_1","prop_outcome_1","diff_prop"
"1","1",18679,129867,0.143831766345569,18611,129815,0.14336555867966,0
"2","2",28985,139734,0.207429830964547,29437,139717,0.210690180865607,-0.003
"3","3",32920,117708,0.279675128283549,32878,116919,0.281203226165123,-0.002
"4","4",47867,113093,0.423253428594166,48201,113147,0.426003340786764,-0.003
"5","1",18449,129925,0.141997306138157,15414,130201,0.118386187510081,0.024
"6","2",29134,139450,0.208920760129079,24035,138781,0.173186531297512,0.036
"7","3",32703,117283,0.278838365321487,27759,116630,0.238009088570694,0.041
"8","4",48115,113707,0.423148970599875,42406,114023,0.371907422186752,0.051
"9","1",18449,129925,0.141997306138157,10147,130201,0.0779333492062273,0.064
"10","2",29134,139450,0.208920760129079,16226,138781,0.116918021919427,0.092
"11","3",32703,117283,0.278838365321487,19046,116630,0.163302752293578,0.116
"12","4",48115,113707,0.423148970599875,30979,114023,0.271690799224718,0.151
"13","1",18449,129925,0.141997306138157,15377,130201,0.118102011505288,0.024
"14","2",29134,139450,0.208920760129079,23867,138781,0.17197599094977,0.037
"15","3",32703,117283,0.278838365321487,27183,116630,0.233070393552259,0.046
"16","4",48115,113707,0.423148970599875,40625,114023,0.356287766503249,0.067
"17","1",18449,129925,0.141997306138157,10098,130201,0.0775570080106912,0.064
"18","2",29134,139450,0.208920760129079,16002,138781,0.115303968122438,0.094
"19","3",32703,117283,0.278838365321487,18759,116630,0.160841978907657,0.118
"20","4",48115,113707,0.423148970599875,29842,114023,0.26171912684283,0.161
